,id,image,likes,publishedAt,title,views
391,UEIEMSooxpE,https://i.ytimg.com/vi/UEIEMSooxpE/sddefault.jpg,37747,2022-01-28T10:30:07Z,超パチンコ依存症チェック,2151246
397,k6m7yPxUfzg,https://i.ytimg.com/vi/k6m7yPxUfzg/sddefault.jpg,26866,2022-01-25T10:00:31Z,どんな顔にでもツッコミを入れる男,830675
398,qF6OIMqAYug,https://i.ytimg.com/vi/qF6OIMqAYug/sddefault.jpg,21326,2022-01-24T10:00:32Z,安いスパチャには冷たい粗品【粗品切り抜き】 #shorts,898463
423,CJds6omZZpw,https://i.ytimg.com/vi/CJds6omZZpw/sddefault.jpg,23368,2022-01-07T10:14:39Z,誕生日に来たキモいコメントに反論,1187633
433,f6CjQ0jRiSM,https://i.ytimg.com/vi/f6CjQ0jRiSM/sddefault.jpg,21888,2021-12-31T03:00:30Z,細客の悩みには辛辣な粗品【粗品切り抜き】 #shorts,1051859
441,PtpIz_u3i6E,https://i.ytimg.com/vi/PtpIz_u3i6E/sddefault.jpg,51244,2021-12-27T03:00:16Z,粗品がスパチャで稼いだお金の使い道【粗品切り抜き】 #shorts,1997955
442,fJLnpGEi2lk,https://i.ytimg.com/vi/fJLnpGEi2lk/sddefault.jpg,48291,2021-12-26T07:19:29Z,本日の有馬記念について,1922965
443,hwA8JvCSn90,https://i.ytimg.com/vi/hwA8JvCSn90/sddefault.jpg,16790,2021-12-26T03:00:15Z,面接に落ちた細客に厳しい事を言う粗品【粗品切り抜き】 #shorts,833629
447,-_gPSsGRd0o,https://i.ytimg.com/vi/-_gPSsGRd0o/sddefault.jpg,23429,2021-12-24T02:56:29Z,細客に算数を教える粗品【粗品切り抜き】 #shorts,1210411
453,KRSQ0Tmcv3U,https://i.ytimg.com/vi/KRSQ0Tmcv3U/sddefault.jpg,18895,2021-12-20T11:18:42Z,粗品の彼女との惚気エピソード【粗品切り抜き】,1079859
462,wN-EUo4VBOg,https://i.ytimg.com/vi/wN-EUo4VBOg/sddefault.jpg,13236,2021-12-15T10:00:25Z,昨日の動画に来たカスのコメントに反論,759940
465,ITjUCSW_xTU,https://i.ytimg.com/vi/ITjUCSW_xTU/sddefault.jpg,49290,2021-12-14T03:00:05Z,【パチンコあるある】ハンドルの加減が分からず通常時に一瞬右打ちしてしまった時 #shorts,2525253
469,yi5JTb9SgHg,https://i.ytimg.com/vi/yi5JTb9SgHg/sddefault.jpg,49614,2021-12-09T10:00:16Z,TikTokで1200万回再生された粗品が跳ねるだけの動画 #shorts,2141154
475,c_OjYA3A-Ag,https://i.ytimg.com/vi/c_OjYA3A-Ag/sddefault.jpg,16409,2021-12-06T10:00:10Z,昨日の動画に来たカスのコメントに反論,916732
487,ga3vCFqXbTE,https://i.ytimg.com/vi/ga3vCFqXbTE/sddefault.jpg,16322,2021-11-30T10:00:15Z,昨日の動画に来たカスのコメントに反論,830655
490,nYNOU--S1yE,https://i.ytimg.com/vi/nYNOU--S1yE/sddefault.jpg,16413,2021-11-29T03:00:29Z,視聴者センスあり過ぎ【粗品切り抜き】,803711
492,fECxzFw8mNw,https://i.ytimg.com/vi/fECxzFw8mNw/sddefault.jpg,14805,2021-11-28T08:11:34Z,本日のジャパンCについて,818598
495,yI52SrrX2_I,https://i.ytimg.com/vi/yI52SrrX2_I/sddefault.jpg,26740,2021-11-26T10:00:27Z,シルバニアファミリーのみつごちゃんベビーカーを買いました,747701
499,qunGlBm9YLc,https://i.ytimg.com/vi/qunGlBm9YLc/sddefault.jpg,17050,2021-11-24T10:00:31Z,福島平場オッズ破壊事件を語る,943241
503,ppqGdOEDOQc,https://i.ytimg.com/vi/ppqGdOEDOQc/sddefault.jpg,37014,2021-11-22T10:00:21Z,こいつ金貸して欲しいんやろなあ,1855791
505,6P7akHQm0tU,https://i.ytimg.com/vi/6P7akHQm0tU/sddefault.jpg,18937,2021-11-21T08:10:21Z,本日のマイルCSについて,784526
511,jvBZ9C3eODQ,https://i.ytimg.com/vi/jvBZ9C3eODQ/sddefault.jpg,52009,2021-11-18T10:00:34Z,アンパンマンの歌に隠されているエグいコード #shorts,1823287
512,F-V7pjiPHSM,https://i.ytimg.com/vi/F-V7pjiPHSM/sddefault.jpg,21955,2021-11-18T03:00:09Z,最低の生配信の終わり方【粗品切り抜き】 #shorts,928894
515,15xdmpt5Hvk,https://i.ytimg.com/vi/15xdmpt5Hvk/sddefault.jpg,18937,2021-11-16T10:00:01Z,昨日の動画に来たカスのコメントに反論,973073
517,bsW3_A3b2dQ,https://i.ytimg.com/vi/bsW3_A3b2dQ/sddefault.jpg,17885,2021-11-15T10:00:11Z,エレベーターで嫌な事をされた時の話,736907
518,OMdXoijJOcI,https://i.ytimg.com/vi/OMdXoijJOcI/sddefault.jpg,16712,2021-11-15T03:00:06Z,粗品の実家は元々寿司屋【粗品切り抜き】 #shorts,740520
519,PUB0gY8uOBU,https://i.ytimg.com/vi/PUB0gY8uOBU/hqdefault.jpg,21165,2021-11-14T08:41:31Z,本日のエリザベス女王杯について,986826
522,_CkABijDgnU,https://i.ytimg.com/vi/_CkABijDgnU/sddefault.jpg,18394,2021-11-13T03:00:28Z,ポケットから中です【粗品切り抜き】,928230
525,MGZgkSrc54M,https://i.ytimg.com/vi/MGZgkSrc54M/sddefault.jpg,44642,2021-11-11T10:00:08Z,パチンコ算〜リンゴの割り算編〜,2341453
527,Q2EUoqDalfU,https://i.ytimg.com/vi/Q2EUoqDalfU/sddefault.jpg,21258,2021-11-10T10:00:26Z,コンビニでお会計が７７７円やった時の話,833989
533,QoO0aXBT-Us,https://i.ytimg.com/vi/QoO0aXBT-Us/sddefault.jpg,16689,2021-11-07T07:03:32Z,本日のアルゼンチン共和国杯について,794345
536,VLst4ojBTHk,https://i.ytimg.com/vi/VLst4ojBTHk/sddefault.jpg,21325,2021-11-06T03:14:46Z,スパチャの値段によって態度を変える粗品【粗品切り抜き】,867730
547,I77UprBP3e8,https://i.ytimg.com/vi/I77UprBP3e8/sddefault.jpg,30634,2021-10-31T07:13:05Z,本日の天皇賞(秋)について,1232296
550,IzBU3krPInk,https://i.ytimg.com/vi/IzBU3krPInk/sddefault.jpg,28013,2021-10-24T08:54:21Z,本日の菊花賞について,1292892
557,FMNgeN90c6s,https://i.ytimg.com/vi/FMNgeN90c6s/sddefault.jpg,66707,2021-09-30T12:03:51Z,絶対に起きれる目覚まし音,2751222
575,n8o8NEyDa0M,https://i.ytimg.com/vi/n8o8NEyDa0M/sddefault.jpg,36396,2021-09-12T13:06:32Z,三井住友銀行のアプリの通知が１５件来てた,1907453
588,S8dMsmmN_vM,https://i.ytimg.com/vi/S8dMsmmN_vM/sddefault.jpg,19404,2021-08-30T11:18:36Z,初めてのApexでブチギレる粗品【粗品切り抜き】 #shorts,749162
592,rBpX94KGxlc,https://i.ytimg.com/vi/rBpX94KGxlc/sddefault.jpg,23099,2021-08-26T13:07:41Z,借用画,1213790
594,DJ7fiD2fZU0,https://i.ytimg.com/vi/DJ7fiD2fZU0/sddefault.jpg,45237,2021-08-24T11:17:51Z,１分で粗品のファンが０人になる動画【粗品切り抜き】 #shorts,1948555
595,KcLcgPoO4CQ,https://i.ytimg.com/vi/KcLcgPoO4CQ/sddefault.jpg,23094,2021-08-23T11:11:35Z,ひぐらしのOPで虫が出てきて叫ぶ粗品【粗品切り抜き】 #shorts,1143910
607,yq55TU9FZxk,https://i.ytimg.com/vi/yq55TU9FZxk/sddefault.jpg,59564,2021-08-06T13:56:13Z,【粗品】自分で作った譜面叩いてみた「乱数調整のリバースシンデレラ(裏)」【太鼓の達人】,3375657
610,KUqt1fhnbes,https://i.ytimg.com/vi/KUqt1fhnbes/sddefault.jpg,15127,2021-08-04T14:06:43Z,カントン感覚Dreamer【粗品切り抜き】 #shorts,749605
616,hbiftvJX_A4,https://i.ytimg.com/vi/hbiftvJX_A4/sddefault.jpg,35105,2021-07-31T11:06:00Z,「やる気ない時どうしてる？」と言う質問に名言で返す粗品【粗品切り抜き】 #shorts,1702004
629,pzjK2kB-LxM,https://i.ytimg.com/vi/pzjK2kB-LxM/sddefault.jpg,19688,2021-07-23T11:48:13Z,初めて生配信でスーパーチャットを貰った粗品の反応【粗品切り抜き】 #shorts,921128
631,AaHBBOsSb6I,https://i.ytimg.com/vi/AaHBBOsSb6I/sddefault.jpg,32222,2021-05-10T12:58:04Z,父ちゃんの歌〜最後の言葉編〜,1330688
632,3kySmaTO1pc,https://i.ytimg.com/vi/3kySmaTO1pc/sddefault.jpg,61625,2021-05-06T12:02:15Z,父ちゃんの歌〜余命宣告編〜,2509280
633,dzcaZvfMjKw,https://i.ytimg.com/vi/dzcaZvfMjKw/sddefault.jpg,18422,2021-03-31T14:43:44Z,アレクサvs粗品２,754834
634,leaySErA9GE,https://i.ytimg.com/vi/leaySErA9GE/sddefault.jpg,110269,2021-03-30T15:00:15Z,粗品 - 乱数調整のリバースシンデレラ feat. 彩宮すう(CV: 竹達彩奈),4524692
635,M5CjLxkITkU,https://i.ytimg.com/vi/M5CjLxkITkU/sddefault.jpg,87565,2021-03-02T12:43:54Z,オーカネナイ,3866424
637,4HaG6yshADA,https://i.ytimg.com/vi/4HaG6yshADA/sddefault.jpg,204738,2021-02-11T13:09:20Z,【借金替え歌】うっせぇわ【粗品】,10061592
639,hTkoxIYQMXs,https://i.ytimg.com/vi/hTkoxIYQMXs/sddefault.jpg,35452,2021-02-01T10:18:22Z,アレクサvs粗品,1285778
645,UmP8j0D3y1I,https://i.ytimg.com/vi/UmP8j0D3y1I/sddefault.jpg,27713,2020-06-20T11:00:10Z,粗品『最高に頭が悪い曲』feat. 初音ミク,875026
646,cKNtpQLeny8,https://i.ytimg.com/vi/cKNtpQLeny8/sddefault.jpg,35334,2020-06-07T11:00:11Z,粗品『希う』feat. 初音ミク,871855
647,j6KGOoxXQQA,https://i.ytimg.com/vi/j6KGOoxXQQA/sddefault.jpg,64517,2020-05-19T11:00:32Z,粗品『ぷっすんきゅう』feat. 初音ミク,1671004
648,x_yvdRXW82I,https://i.ytimg.com/vi/x_yvdRXW82I/sddefault.jpg,109445,2020-05-03T11:00:22Z,粗品『ビームが撃てたらいいのに』feat. 初音ミク,3124845
