,id,image,likes,publishedAt,title,views
511,jvBZ9C3eODQ,https://i.ytimg.com/vi/jvBZ9C3eODQ/sddefault.jpg,52020,2021-11-18T10:00:34Z,アンパンマンの歌に隠されているエグいコード #shorts,1823927
512,F-V7pjiPHSM,https://i.ytimg.com/vi/F-V7pjiPHSM/sddefault.jpg,21959,2021-11-18T03:00:09Z,最低の生配信の終わり方【粗品切り抜き】 #shorts,929292
515,15xdmpt5Hvk,https://i.ytimg.com/vi/15xdmpt5Hvk/sddefault.jpg,18938,2021-11-16T10:00:01Z,昨日の動画に来たカスのコメントに反論,973206
517,bsW3_A3b2dQ,https://i.ytimg.com/vi/bsW3_A3b2dQ/sddefault.jpg,17886,2021-11-15T10:00:11Z,エレベーターで嫌な事をされた時の話,736974
518,OMdXoijJOcI,https://i.ytimg.com/vi/OMdXoijJOcI/sddefault.jpg,16715,2021-11-15T03:00:06Z,粗品の実家は元々寿司屋【粗品切り抜き】 #shorts,740708
519,PUB0gY8uOBU,https://i.ytimg.com/vi/PUB0gY8uOBU/hqdefault.jpg,21165,2021-11-14T08:41:31Z,本日のエリザベス女王杯について,986844
522,_CkABijDgnU,https://i.ytimg.com/vi/_CkABijDgnU/sddefault.jpg,18395,2021-11-13T03:00:28Z,ポケットから中です【粗品切り抜き】,928517
525,MGZgkSrc54M,https://i.ytimg.com/vi/MGZgkSrc54M/sddefault.jpg,44645,2021-11-11T10:00:08Z,パチンコ算～リンゴの割り算編～,2341774
527,Q2EUoqDalfU,https://i.ytimg.com/vi/Q2EUoqDalfU/sddefault.jpg,21260,2021-11-10T10:00:26Z,コンビニでお会計が７７７円やった時の話,834051
533,QoO0aXBT-Us,https://i.ytimg.com/vi/QoO0aXBT-Us/sddefault.jpg,16690,2021-11-07T07:03:32Z,本日のアルゼンチン共和国杯について,794363
536,VLst4ojBTHk,https://i.ytimg.com/vi/VLst4ojBTHk/sddefault.jpg,21327,2021-11-06T03:14:46Z,スパチャの値段によって態度を変える粗品【粗品切り抜き】,867819
547,I77UprBP3e8,https://i.ytimg.com/vi/I77UprBP3e8/sddefault.jpg,30634,2021-10-31T07:13:05Z,本日の天皇賞(秋)について,1232322
550,IzBU3krPInk,https://i.ytimg.com/vi/IzBU3krPInk/sddefault.jpg,28014,2021-10-24T08:54:21Z,本日の菊花賞について,1292951
557,FMNgeN90c6s,https://i.ytimg.com/vi/FMNgeN90c6s/sddefault.jpg,66713,2021-09-30T12:03:51Z,絶対に起きれる目覚まし音,2752078
575,n8o8NEyDa0M,https://i.ytimg.com/vi/n8o8NEyDa0M/sddefault.jpg,36398,2021-09-12T13:06:32Z,三井住友銀行のアプリの通知が１５件来てた,1907623
588,S8dMsmmN_vM,https://i.ytimg.com/vi/S8dMsmmN_vM/sddefault.jpg,19407,2021-08-30T11:18:36Z,初めてのApexでブチギレる粗品【粗品切り抜き】 #shorts,749279
592,rBpX94KGxlc,https://i.ytimg.com/vi/rBpX94KGxlc/sddefault.jpg,23099,2021-08-26T13:07:41Z,借用画,1213839
594,DJ7fiD2fZU0,https://i.ytimg.com/vi/DJ7fiD2fZU0/sddefault.jpg,45254,2021-08-24T11:17:51Z,１分で粗品のファンが０人になる動画【粗品切り抜き】 #shorts,1949186
595,KcLcgPoO4CQ,https://i.ytimg.com/vi/KcLcgPoO4CQ/sddefault.jpg,23095,2021-08-23T11:11:35Z,ひぐらしのOPで虫が出てきて叫ぶ粗品【粗品切り抜き】 #shorts,1144009
607,yq55TU9FZxk,https://i.ytimg.com/vi/yq55TU9FZxk/sddefault.jpg,59570,2021-08-06T13:56:13Z,【粗品】自分で作った譜面叩いてみた「乱数調整のリバースシンデレラ(裏)」【太鼓の達人】,3376161
610,KUqt1fhnbes,https://i.ytimg.com/vi/KUqt1fhnbes/sddefault.jpg,15127,2021-08-04T14:06:43Z,カントン感覚Dreamer【粗品切り抜き】 #shorts,749686
616,hbiftvJX_A4,https://i.ytimg.com/vi/hbiftvJX_A4/sddefault.jpg,35107,2021-07-31T11:06:00Z,「やる気ない時どうしてる？」と言う質問に名言で返す粗品【粗品切り抜き】 #shorts,1702075
629,pzjK2kB-LxM,https://i.ytimg.com/vi/pzjK2kB-LxM/sddefault.jpg,19691,2021-07-23T11:48:13Z,初めて生配信でスーパーチャットを貰った粗品の反応【粗品切り抜き】 #shorts,921168
631,AaHBBOsSb6I,https://i.ytimg.com/vi/AaHBBOsSb6I/sddefault.jpg,32227,2021-05-10T12:58:04Z,父ちゃんの歌～最後の言葉編～,1331000
632,3kySmaTO1pc,https://i.ytimg.com/vi/3kySmaTO1pc/sddefault.jpg,61631,2021-05-06T12:02:15Z,父ちゃんの歌～余命宣告編～,2509943
633,dzcaZvfMjKw,https://i.ytimg.com/vi/dzcaZvfMjKw/sddefault.jpg,18423,2021-03-31T14:43:44Z,アレクサvs粗品２,754857
634,leaySErA9GE,https://i.ytimg.com/vi/leaySErA9GE/sddefault.jpg,110290,2021-03-30T15:00:15Z,粗品 - 乱数調整のリバースシンデレラ feat. 彩宮すう(CV: 竹達彩奈),4525601
635,M5CjLxkITkU,https://i.ytimg.com/vi/M5CjLxkITkU/sddefault.jpg,87574,2021-03-02T12:43:54Z,オーカネナイ,3866743
637,4HaG6yshADA,https://i.ytimg.com/vi/4HaG6yshADA/sddefault.jpg,204760,2021-02-11T13:09:20Z,【借金替え歌】うっせぇわ【粗品】,10062987
639,hTkoxIYQMXs,https://i.ytimg.com/vi/hTkoxIYQMXs/sddefault.jpg,35456,2021-02-01T10:18:22Z,アレクサvs粗品,1285842
645,UmP8j0D3y1I,https://i.ytimg.com/vi/UmP8j0D3y1I/sddefault.jpg,27714,2020-06-20T11:00:10Z,粗品『最高に頭が悪い曲』feat. 初音ミク,875098
646,cKNtpQLeny8,https://i.ytimg.com/vi/cKNtpQLeny8/sddefault.jpg,35332,2020-06-07T11:00:11Z,粗品『希う』feat. 初音ミク,871900
647,j6KGOoxXQQA,https://i.ytimg.com/vi/j6KGOoxXQQA/sddefault.jpg,64522,2020-05-19T11:00:32Z,粗品『ぷっすんきゅう』feat. 初音ミク,1671183
648,x_yvdRXW82I,https://i.ytimg.com/vi/x_yvdRXW82I/sddefault.jpg,109447,2020-05-03T11:00:22Z,粗品『ビームが撃てたらいいのに』feat. 初音ミク,3125135
